player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Damian Lillard,1,37.21666666666667,9,20,0.45,4,12,0.333,17,17,1.0,0,8,8,4,0,0,0,2,39,12.0,0.71,0.55,0.6,0.85,0.0,26.5,12.6,17.6,0.0,0.0,0.0,32.0,154.0,120.0,11.8,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Giannis Antetokounmpo,1,35.11666666666667,10,21,0.476,0,3,0.0,3,9,0.333,4,8,12,3,2,2,7,4,23,-13.0,0.461,0.476,0.143,0.429,12.7,28.0,20.0,15.0,2.7,6.1,21.9,39.4,83.0,108.0,-6.8,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Malik Beasley,1,31.05,2,4,0.5,1,1,1.0,0,0,0.0,0,4,4,3,2,0,2,1,5,-5.0,0.625,0.625,0.25,0.0,0.0,15.9,7.5,12.2,3.0,0.0,33.3,8.4,97.0,114.0,0.6,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Brook Lopez,1,28.933333333333334,5,7,0.714,3,4,0.75,0,0,0.0,1,1,2,0,0,0,2,4,13,11.0,0.929,0.929,0.571,0.0,3.9,4.3,4.0,0.0,0.0,0.0,22.2,13.5,132.0,121.0,-0.7,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Khris Middleton,1,16.2,2,5,0.4,1,3,0.333,1,2,0.5,0,3,3,4,2,0,2,0,6,14.0,0.51,0.5,0.6,0.4,0.0,22.8,10.8,33.8,5.8,0.0,25.4,21.1,97.0,107.0,5.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Jae Crowder,1,26.766666666666666,3,4,0.75,1,1,1.0,2,2,1.0,0,4,4,2,2,0,1,3,9,11.0,0.922,0.875,0.25,0.5,0.0,18.4,8.7,10.1,3.5,0.0,17.0,9.5,156.0,112.0,5.8,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Pat Connaughton,1,20.35,2,6,0.333,1,4,0.25,2,2,1.0,0,2,2,2,0,1,0,0,7,-5.0,0.509,0.417,0.667,0.333,0.0,12.1,5.8,13.0,0.0,5.2,0.0,14.6,119.0,117.0,1.4,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Bobby Portis,1,19.066666666666663,5,8,0.625,0,0,0.0,0,4,0.0,2,4,6,2,0,1,0,3,10,-10.0,0.512,0.625,0.0,0.5,11.7,25.8,18.4,17.7,0.0,5.6,0.0,22.2,117.0,115.0,0.8,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
MarJon Beauchamp,1,16.366666666666667,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,3,4,-3.0,0.667,0.667,0.333,0.0,6.8,7.5,7.2,0.0,0.0,0.0,0.0,7.9,144.0,121.0,-4.9,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Cameron Payne,1,8.933333333333334,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,3,2,-7.0,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,14.5,69.0,109.0,-10.9,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Thanasis Antetokounmpo,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
A.J. Green,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Andre Jackson Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Chris Livingston,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Robin Lopez,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,MIL,PHI,Home,118,117,1
Malik Beasley,1,31.633333333333333,6,12,0.5,4,10,0.4,2,4,0.5,1,3,4,1,2,0,2,3,18,-26.0,0.654,0.667,0.833,0.333,3.4,11.4,7.1,5.1,2.9,0.0,12.7,20.3,116.0,122.0,1.3,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Giannis Antetokounmpo,1,29.466666666666665,9,14,0.643,0,1,0.0,8,10,0.8,5,6,11,3,1,2,3,2,26,-11.0,0.707,0.643,0.071,0.714,18.1,24.4,21.1,20.1,1.6,5.8,14.0,29.6,136.0,119.0,10.2,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Damian Lillard,1,29.03333333333333,2,12,0.167,2,8,0.25,0,0,0.0,1,3,4,5,2,0,6,2,6,-29.0,0.25,0.25,0.667,0.0,3.7,12.4,7.8,23.2,3.2,0.0,33.3,25.3,56.0,122.0,-15.8,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Jae Crowder,1,25.95,1,4,0.25,0,3,0.0,0,0,0.0,0,3,3,3,0,1,0,1,2,-27.0,0.25,0.25,0.75,0.0,0.0,13.9,6.5,14.9,0.0,3.3,0.0,6.3,96.0,127.0,-4.2,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Brook Lopez,1,20.416666666666668,5,11,0.455,2,5,0.4,1,1,1.0,1,2,3,1,1,0,0,0,13,-22.0,0.568,0.545,0.455,0.091,5.2,11.8,8.3,8.6,2.3,0.0,0.0,22.8,126.0,124.0,3.1,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Pat Connaughton,1,23.316666666666663,2,9,0.222,1,6,0.167,0,0,0.0,1,2,3,2,2,0,1,1,5,-15.0,0.278,0.278,0.667,0.0,4.6,10.3,7.3,11.8,4.0,0.0,10.0,17.5,73.0,120.0,-7.3,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Bobby Portis,1,21.016666666666666,5,10,0.5,0,2,0.0,2,2,1.0,1,3,4,2,0,0,3,2,12,-5.0,0.551,0.5,0.2,0.2,5.1,17.1,10.7,16.6,0.0,0.0,21.6,26.9,97.0,128.0,-7.7,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
MarJon Beauchamp,1,16.133333333333333,3,5,0.6,2,2,1.0,0,0,0.0,1,0,1,0,0,0,1,3,8,-2.0,0.8,0.8,0.4,0.0,6.6,0.0,3.5,0.0,0.0,0.0,16.7,15.2,127.0,132.0,-2.8,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Cameron Payne,1,14.4,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,0,0,1,4,6,3.0,1.0,1.0,1.0,0.0,0.0,8.3,3.9,10.3,0.0,0.0,25.0,11.3,138.0,130.0,-4.0,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Thanasis Antetokounmpo,1,7.55,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,3,2,2,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,6.2,0.0,75.0,21.6,65.0,118.0,-7.9,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Andre Jackson Jr.,1,6.616666666666667,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,1,1,0,1,2,0,5.0,0.0,0.0,1.0,0.0,16.1,54.4,34.1,18.6,7.0,0.0,50.0,12.3,55.0,101.0,-5.7,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
A.J. Green,1,5.616666666666667,2,2,1.0,2,2,1.0,1,1,1.0,0,1,1,0,0,0,0,0,7,10.0,1.434,1.5,1.0,0.5,0.0,21.4,10.1,0.0,0.0,0.0,0.0,17.7,279.0,127.0,32.2,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Robin Lopez,1,5.616666666666667,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,1,0,2,10.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,53.2,13.6,124.0,133.0,0.4,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
TyTy Washington Jr.,1,3.2333333333333334,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,3,10.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,37.8,80.0,133.0,-4.5,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Chris Livingston,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2c77f85c-6ab1-48f2-9c52-d17c035f444a,MIL,ATL,Home,110,127,0
Damian Lillard,1,35.03333333333333,7,14,0.5,2,7,0.286,9,11,0.818,1,4,5,4,1,0,4,2,25,2.0,0.663,0.571,0.5,0.786,3.3,13.4,8.3,15.9,1.4,0.0,17.5,27.4,119.0,116.0,0.9,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Malik Beasley,1,31.9,2,8,0.25,1,6,0.167,0,2,0.0,0,3,3,2,2,0,2,3,5,-10.0,0.282,0.313,0.75,0.25,0.0,11.0,5.4,7.3,3.0,0.0,18.4,14.3,57.0,112.0,-9.1,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Giannis Antetokounmpo,1,31.85,12,21,0.571,1,3,0.333,8,11,0.727,1,6,7,2,0,1,2,3,33,18.0,0.639,0.595,0.143,0.524,3.6,22.1,12.7,11.6,0.0,2.9,7.2,36.7,124.0,115.0,5.4,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Brook Lopez,1,29.383333333333333,5,9,0.556,1,4,0.25,0,0,0.0,3,4,7,3,1,1,2,3,11,-10.0,0.611,0.611,0.444,0.0,11.7,15.9,13.8,13.7,1.6,3.1,18.2,15.7,119.0,112.0,1.7,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Khris Middleton,1,17.05,1,4,0.25,0,2,0.0,3,4,0.75,0,2,2,5,1,0,1,2,5,14.0,0.434,0.25,0.5,1.0,0.0,13.7,6.8,34.2,2.8,0.0,14.8,16.7,109.0,112.0,-0.6,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Jae Crowder,1,25.33333333333333,3,7,0.429,2,3,0.667,0,0,0.0,1,4,5,2,1,1,1,2,8,-11.0,0.571,0.571,0.429,0.0,4.5,18.5,11.4,9.9,1.9,3.6,12.5,13.3,114.0,111.0,2.5,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Pat Connaughton,1,22.516666666666666,3,5,0.6,2,3,0.667,0,0,0.0,0,5,5,2,0,1,1,2,8,5.0,0.8,0.8,0.6,0.0,0.0,26.0,12.8,11.3,0.0,4.1,16.7,11.2,134.0,113.0,3.8,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Bobby Portis,1,18.616666666666667,7,10,0.7,0,2,0.0,2,2,1.0,2,6,8,2,2,1,0,3,16,18.0,0.735,0.7,0.2,0.2,12.3,37.7,24.9,19.9,5.1,5.0,0.0,24.6,158.0,98.0,17.3,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
A.J. Green,1,15.35,0,4,0.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,3,0,8.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,11.0,35.0,121.0,-16.1,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Cameron Payne,1,12.966666666666669,4,5,0.8,3,4,0.75,0,0,0.0,1,0,1,0,0,0,1,0,11,6.0,1.1,1.1,0.8,0.0,8.8,0.0,4.5,0.0,0.0,0.0,16.7,19.4,157.0,121.0,13.7,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Thanasis Antetokounmpo,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Andre Jackson Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Chris Livingston,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Robin Lopez,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7b007e45-decc-4f5e-8484-3d0dd66058d2,MIL,MIA,Home,122,114,1
Damian Lillard,1,30.6,4,9,0.444,1,4,0.25,6,7,0.857,0,2,2,6,0,0,2,1,15,-26.0,0.621,0.5,0.444,0.778,0.0,8.5,4.0,32.8,0.0,0.0,14.2,21.1,124.0,142.0,-3.6,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Giannis Antetokounmpo,1,27.683333333333334,5,11,0.455,0,0,0.0,6,9,0.667,3,1,4,2,1,0,3,3,16,-10.0,0.535,0.455,0.0,0.818,12.4,4.7,8.8,13.2,1.8,0.0,16.7,29.7,104.0,139.0,-8.3,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Malik Beasley,1,25.25,7,10,0.7,6,9,0.667,0,0,0.0,0,2,2,0,2,0,0,2,20,-23.0,1.0,1.0,0.9,0.0,0.0,10.3,4.8,0.0,4.0,0.0,0.0,18.2,179.0,132.0,15.6,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Khris Middleton,1,17.133333333333333,4,10,0.4,1,4,0.25,2,2,1.0,0,3,3,0,1,0,4,2,11,-13.0,0.506,0.45,0.4,0.2,0.0,22.7,10.6,0.0,2.9,0.0,26.9,39.8,70.0,131.0,-17.0,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Brook Lopez,1,16.65,1,8,0.125,0,4,0.0,4,4,1.0,2,1,3,0,2,1,0,0,6,-22.0,0.307,0.125,0.5,0.5,13.7,7.8,10.9,0.0,6.0,5.4,0.0,26.9,82.0,126.0,-9.1,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Jae Crowder,1,25.066666666666663,3,5,0.6,2,3,0.667,1,3,0.333,1,0,1,3,0,1,0,2,9,-5.0,0.712,0.8,0.6,0.6,4.6,0.0,2.4,19.6,0.0,3.6,0.0,11.6,155.0,143.0,2.8,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Pat Connaughton,1,22.633333333333333,1,2,0.5,0,1,0.0,1,2,0.5,0,2,2,1,0,0,1,1,3,-10.0,0.521,0.5,0.5,1.0,0.0,11.5,5.4,6.5,0.0,0.0,25.8,7.9,87.0,141.0,-10.1,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Cameron Payne,1,19.1,2,5,0.4,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,2,4,-4.0,0.4,0.4,0.4,0.0,0.0,13.6,6.4,8.4,0.0,0.0,16.7,14.4,74.0,140.0,-15.6,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Bobby Portis,1,18.7,2,6,0.333,0,1,0.0,6,9,0.667,1,5,6,1,2,0,1,1,10,-7.0,0.502,0.333,0.167,1.5,6.1,34.7,19.5,8.6,5.4,0.0,9.1,26.9,105.0,121.0,-2.4,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
MarJon Beauchamp,1,15.983333333333333,2,5,0.4,2,5,0.4,2,2,1.0,0,2,2,0,0,0,0,0,8,5.0,0.68,0.6,1.0,0.4,0.0,16.2,7.6,0.0,0.0,0.0,0.0,16.9,136.0,140.0,-0.8,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Andre Jackson Jr.,1,6.35,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,2,2,4.0,1.0,1.0,0.0,0.0,0.0,20.4,9.6,82.6,7.9,0.0,0.0,7.2,217.0,120.0,21.7,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Chris Livingston,1,5.516666666666667,2,2,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,5,6.0,1.25,1.25,0.5,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,16.6,248.0,145.0,25.1,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
A.J. Green,1,5.516666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,6.0,1.0,1.0,0.0,0.0,0.0,23.5,11.0,33.1,0.0,0.0,0.0,8.3,210.0,137.0,2.8,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Thanasis Antetokounmpo,1,3.8166666666666655,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,145.0,-21.2,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Robin Lopez,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6285a50f-ba78-4202-a52e-6d2b8b0df0fd,MIL,TOR,Away,111,130,0
Damian Lillard,1,36.06666666666667,7,15,0.467,4,7,0.571,12,12,1.0,0,4,4,4,1,1,4,0,30,2.0,0.74,0.6,0.467,0.8,0.0,10.6,5.5,20.7,1.4,2.3,16.5,29.8,128.0,111.0,8.6,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Giannis Antetokounmpo,1,35.78333333333333,6,10,0.6,3,3,1.0,7,13,0.538,1,7,8,6,0,1,7,3,22,13.0,0.7,0.75,0.3,1.3,2.9,18.8,11.1,29.9,0.0,2.4,30.8,28.1,104.0,109.0,1.3,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Brook Lopez,1,35.53333333333333,4,15,0.267,4,10,0.4,1,2,0.5,0,5,5,0,1,9,1,2,13,1.0,0.409,0.4,0.667,0.133,0.0,13.5,7.0,0.0,1.4,21.3,5.9,21.1,74.0,99.0,2.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Malik Beasley,1,22.366666666666667,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,3,0,0,0,2,0,6.0,0.0,0.0,0.5,0.0,0.0,12.9,6.6,18.4,0.0,0.0,0.0,4.0,83.0,113.0,-6.5,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Khris Middleton,1,21.016666666666666,5,10,0.5,2,3,0.667,0,0,0.0,3,6,9,4,0,0,0,1,12,-2.0,0.6,0.6,0.3,0.0,14.6,27.4,21.2,38.7,0.0,0.0,0.0,21.1,142.0,107.0,9.3,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Pat Connaughton,1,23.916666666666668,1,4,0.25,0,2,0.0,0,0,0.0,2,0,2,2,1,0,1,2,2,-4.0,0.25,0.25,0.5,0.0,8.5,0.0,4.1,12.2,2.0,0.0,20.0,9.3,85.0,115.0,-6.7,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Jae Crowder,1,23.73333333333333,5,8,0.625,4,6,0.667,0,0,0.0,0,6,6,2,1,0,0,1,14,3.0,0.875,0.875,0.75,0.0,0.0,24.3,12.5,16.3,2.1,0.0,0.0,14.9,163.0,103.0,13.7,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Bobby Portis,1,16.55,2,10,0.2,0,2,0.0,0,0,0.0,0,2,2,0,2,0,0,1,4,-2.0,0.2,0.2,0.2,0.0,0.0,11.6,6.0,0.0,5.9,0.0,0.0,26.8,41.0,101.0,-16.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
MarJon Beauchamp,1,13.1,5,7,0.714,3,5,0.6,0,1,0.0,1,1,2,2,0,0,0,2,13,5.0,0.874,0.929,0.714,0.143,7.8,7.3,7.6,43.9,0.0,0.0,0.0,25.2,162.0,116.0,20.6,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Cameron Payne,1,11.933333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,50.0,7.4,32.0,119.0,-16.9,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Thanasis Antetokounmpo,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
A.J. Green,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Andre Jackson Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Chris Livingston,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Robin Lopez,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f3b8bdd1-bcc5-40ed-8b9c-0e5afb141ef4,MIL,NYK,Home,110,105,1
Giannis Antetokounmpo,1,35.25,15,27,0.556,1,7,0.143,5,6,0.833,2,10,12,3,1,2,3,1,36,15.0,0.607,0.574,0.259,0.222,5.8,29.0,17.4,16.0,1.3,4.9,9.2,38.1,118.0,117.0,6.2,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Damian Lillard,1,34.21666666666667,5,15,0.333,2,8,0.25,9,10,0.9,2,4,6,7,1,0,1,1,21,-14.0,0.541,0.4,0.533,0.667,6.0,11.9,9.0,25.2,1.4,0.0,4.9,24.6,131.0,124.0,1.5,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Brook Lopez,1,27.133333333333333,2,6,0.333,0,3,0.0,0,0,0.0,4,3,7,2,0,0,0,3,4,-15.0,0.333,0.333,0.5,0.0,15.1,11.3,13.2,8.3,0.0,0.0,0.0,9.1,121.0,128.0,-7.9,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Khris Middleton,1,21.183333333333334,6,10,0.6,1,4,0.25,2,2,1.0,0,3,3,4,0,0,0,1,15,9.0,0.689,0.65,0.4,0.2,0.0,14.5,7.2,28.0,0.0,0.0,0.0,21.2,154.0,127.0,5.3,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Malik Beasley,1,14.0,1,5,0.2,1,5,0.2,0,0,0.0,0,6,6,0,0,0,1,2,3,-9.0,0.3,0.3,1.0,0.0,0.0,43.8,21.9,0.0,0.0,0.0,16.7,17.6,53.0,119.0,-16.6,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Jae Crowder,1,30.3,5,10,0.5,4,9,0.444,1,2,0.5,2,3,5,0,1,0,2,1,15,-6.0,0.689,0.7,0.9,0.2,6.7,10.1,8.4,0.0,1.6,0.0,15.5,17.5,118.0,125.0,-0.7,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
Bobby Portis,1,25.78333333333333,3,8,0.375,1,2,0.5,4,4,1.0,0,6,6,2,2,0,1,2,11,14.0,0.564,0.438,0.25,0.5,0.0,23.8,11.9,9.2,3.7,0.0,9.3,17.2,117.0,116.0,-0.5,85d9dc52-a000-43ce-a407-b021b04380e7,MIL,BRK,Away,129,125,1
